title,views,url,id,dateCreated
Why can't I log in to Procore?,590163,https://support.procore.com/faq/trouble-logging-in-to-procore,39950,"Thu, 11 Oct 2018 20:56:52 GMT"
How do I change my web browser's default email client for mailto links?,314789,https://support.procore.com/faq/how-do-i-change-my-web-browsers-default-email-client-for-mailto-links,4118,"Mon, 31 Aug 2015 18:30:51 GMT"
Why is my Procore Certified Certificate missing?,93348,https://support.procore.com/faq/why-is-my-procore-certified-certificate-missing,3297,"Tue, 16 Jun 2015 14:36:59 GMT"
What are Procore's default cost codes?,75230,https://support.procore.com/faq/what-are-procores-default-cost-codes,8087,"Mon, 06 Jun 2016 20:57:07 GMT"
What is the difference between SP- and IdP-Initiated SSO?,74367,https://support.procore.com/faq/what-is-the-difference-between-sp-and-idp-initiated-sso,15979,"Thu, 30 Mar 2017 15:18:29 GMT"
Why did I receive an error message in Procore?,73416,https://support.procore.com/faq/why-did-i-receive-an-error-message-in-procore,22721,"Fri, 04 Aug 2017 16:40:22 GMT"
How can I improve the accuracy of OCR on my drawings?,72026,https://support.procore.com/faq/how-can-i-improve-the-accuracy-of-ocr-on-my-drawings,5959,"Wed, 02 Mar 2016 22:52:05 GMT"
What is a submittal?,57007,https://support.procore.com/faq/what-is-a-submittal,1707,"Mon, 02 Mar 2015 17:12:24 GMT"
How do I navigate Procore's tools?,48413,https://support.procore.com/faq/how-do-i-navigate-procores-tools,1886,"Thu, 05 Mar 2015 22:43:41 GMT"
What is a Test Project?,35631,https://support.procore.com/faq/what-is-a-test-project,69126,"Fri, 31 Jan 2020 18:43:33 GMT"
What gets copied over to a new project when applying a project template?,34485,https://support.procore.com/faq/what-gets-copied-over-to-a-new-project-when-applying-a-project-template,2039,"Wed, 11 Mar 2015 16:14:54 GMT"
How do I reset an unknown password?,29250,https://support.procore.com/faq/how-do-i-reset-an-unknown-password,2843,"Tue, 19 May 2015 23:49:29 GMT"
Why are my drawing uploads failing?,29197,https://support.procore.com/faq/why-are-my-drawing-uploads-failing,44502,"Wed, 09 Jan 2019 00:20:33 GMT"
How do I add someone as an employee of my company?,28852,https://support.procore.com/faq/how-do-i-add-someone-as-an-employee-of-my-company,9338,"Thu, 21 Jul 2016 21:29:08 GMT"
What are the different change order tier settings in Project Financials?,27891,https://support.procore.com/faq/what-are-the-different-change-order-tier-settings-in-project-financials,2569,"Wed, 06 May 2015 22:42:37 GMT"
