title,views,url,id,dateCreated
Submit a Bid,450617,https://support.procore.com/products/online/user-guide/project-level/bidding/tutorials/submit-a-bid,873,"Fri, 30 Jan 2015 19:57:29 GMT"
How to Log in to Procore Web (app.procore.com),348993,https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/log-in-to-procore-web,11321,"Thu, 27 Oct 2016 15:48:15 GMT"
Create a Submittal,99785,https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/create-a-submittal,817,"Wed, 28 Jan 2015 20:12:46 GMT"
Add Your Procore Certified Certificate to Your LinkedIn Profile,93463,https://support.procore.com/certification/tutorials/add-your-procore-certified-certificate-to-your-linkedin,3057,"Wed, 03 Jun 2015 17:03:06 GMT"
Request Company and People Imports,89527,https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/request-company-and-people-imports,29353,"Tue, 13 Feb 2018 20:47:41 GMT"
Create a New Project,82903,https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/create-a-new-project,1746,"Tue, 03 Mar 2015 17:34:08 GMT"
Add Phone Calls Entries (iOS),82636,https://support.procore.com/procore-mobile-ios/user-guide/daily-log-ios/tutorials/add-phone-calls-entries-ios,10709,"Thu, 08 Sep 2016 21:38:50 GMT"
Grant Granular Permissions in a Project Permissions Template,78914,https://support.procore.com/products/online/user-guide/company-level/permissions/tutorials/grant-granular-permissions-in-a-project-permissions-template,67800,"Sat, 18 Jan 2020 00:53:28 GMT"
Configure a Project Template,76087,https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/configure-a-project-template,19338,"Wed, 07 Jun 2017 21:14:47 GMT"
Create an RFI,74994,https://support.procore.com/products/online/user-guide/project-level/rfi/tutorials/create-an-rfi,853,"Thu, 29 Jan 2015 19:52:43 GMT"
Upload Drawings,73156,https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/upload-drawings,989,"Tue, 03 Feb 2015 01:29:22 GMT"
Submit a New Invoice as an Invoice Contact,59990,https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/submit-a-new-invoice-as-an-invoice-contact,11210,"Wed, 19 Oct 2016 17:47:12 GMT"
Add a Task,59052,https://support.procore.com/products/online/user-guide/project-level/tasks/tutorials/add-a-task,23886,"Wed, 06 Sep 2017 18:29:23 GMT"
Import a Budget,54566,https://support.procore.com/products/online/user-guide/project-level/budget/tutorials/import-a-budget,1075,"Thu, 05 Feb 2015 19:10:51 GMT"
Compare Drawing Revisions,53688,https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/compare-drawing-revisions,932,"Mon, 02 Feb 2015 18:36:13 GMT"
