"title","views","url","id","dateCreated","lastThirty"
"Support Home","5946688","https://support.procore.com/","1","Thu, 18 Dec 2014 19:30:36 GMT",111233
"Training Videos","913862","https://support.procore.com/references/videos/training-videos","2097","Fri, 13 Mar 2015 19:52:34 GMT",16863
"Why can't I log in to Procore?","627445","https://support.procore.com/faq/trouble-logging-in-to-procore","39950","Thu, 11 Oct 2018 20:56:52 GMT",37282
"Submit a Bid","460216","https://support.procore.com/products/online/user-guide/project-level/bidding/tutorials/submit-a-bid","873","Fri, 30 Jan 2015 19:57:29 GMT",9599
"Contact Support","457989","https://support.procore.com/references/contact-support","2079","Thu, 12 Mar 2015 20:30:34 GMT",9730
"How to Log in to Procore Web (app.procore.com)","350316","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/log-in-to-procore-web","11321","Thu, 27 Oct 2016 15:48:15 GMT",1323
"Submittals","330252","https://support.procore.com/products/online/user-guide/project-level/submittals","436","Fri, 16 Jan 2015 00:32:29 GMT",7015
"How do I change my web browser's default email client for mailto links?","319764","https://support.procore.com/faq/how-do-i-change-my-web-browsers-default-email-client-for-mailto-links","4118","Mon, 31 Aug 2015 18:30:51 GMT",4975
"Product Releases","279309","https://support.procore.com/product-releases","26584","Tue, 21 Nov 2017 21:09:24 GMT",1152
"Drawings","271132","https://support.procore.com/products/online/user-guide/project-level/drawings","467","Fri, 16 Jan 2015 18:17:13 GMT",5806
"Procore Drive","263704","https://support.procore.com/products/procore-drive","266","Fri, 19 Dec 2014 18:25:10 GMT",5709
"Getting Started with Procore","228657","https://support.procore.com/getting-started-with-procore","4136","Thu, 03 Sep 2015 22:03:07 GMT",3934
"User Permissions Matrix - Web","213557","https://support.procore.com/references/user-permissions-matrix-web","351","Wed, 31 Dec 2014 17:50:53 GMT",4328
"Daily Log","200705","https://support.procore.com/products/online/user-guide/project-level/daily-log","523","Sun, 18 Jan 2015 14:19:25 GMT",3743
"Procore User Guide","192473","https://support.procore.com/products/online/user-guide","279","Fri, 19 Dec 2014 18:25:27 GMT",4158
"Glossary of Terms","174736","https://support.procore.com/references/construction-management/glossary-of-terms","350","Wed, 31 Dec 2014 17:07:14 GMT",3909
"User Guide","166635","https://support.procore.com/procore-mobile-ios/user-guide","292","Tue, 23 Dec 2014 22:57:23 GMT",3024
"RFIs","152084","https://support.procore.com/products/online/user-guide/project-level/rfi","429","Thu, 15 Jan 2015 22:19:58 GMT",3021
"Bidding","150896","https://support.procore.com/products/online/user-guide/project-level/bidding","485","Fri, 16 Jan 2015 19:54:13 GMT",2490
"Documents","149954","https://support.procore.com/products/online/user-guide/project-level/documents","413","Thu, 15 Jan 2015 01:41:49 GMT",2291
"Procore Import Templates","135855","https://support.procore.com/references/procore-import-templates","1831","Wed, 04 Mar 2015 19:57:26 GMT",3234
"Portfolio","124084","https://support.procore.com/products/online/user-guide/company-level/portfolio","587","Mon, 19 Jan 2015 21:03:25 GMT",3057
"Setup Guide","111014","https://support.procore.com/products/procore-drive/setup-guide","267","Fri, 19 Dec 2014 18:25:10 GMT",794
"Procore Sync","110786","https://support.procore.com/products/procore-sync","18969","Wed, 31 May 2017 20:58:23 GMT",572
"Punch List","106713","https://support.procore.com/products/online/user-guide/project-level/punch-list","503","Sat, 17 Jan 2015 00:01:11 GMT",2032
"Procore Certification","104045","https://support.procore.com/certification","3408","Mon, 22 Jun 2015 21:26:04 GMT",1392
"Products","101850","https://support.procore.com/products","391","Thu, 08 Jan 2015 02:15:50 GMT",2098
"Create a Submittal","101795","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/create-a-submittal","817","Wed, 28 Jan 2015 20:12:46 GMT",2010
"Commitments","101447","https://support.procore.com/products/online/user-guide/project-level/commitments","473","Fri, 16 Jan 2015 18:50:09 GMT",1500
"Why is my Procore Certified Certificate missing?","94431","https://support.procore.com/faq/why-is-my-procore-certified-certificate-missing","3297","Tue, 16 Jun 2015 14:36:59 GMT",1083
"Add Your Procore Certified Certificate to Your LinkedIn Profile","94234","https://support.procore.com/certification/tutorials/add-your-procore-certified-certificate-to-your-linkedin","3057","Wed, 03 Jun 2015 17:03:06 GMT",771
