"title","views","url","id","dateCreated","lastThirty"
"Submit a Bid","460216","https://support.procore.com/products/online/user-guide/project-level/bidding/tutorials/submit-a-bid","873","Fri, 30 Jan 2015 19:57:29 GMT",9599
"How to Log in to Procore Web (app.procore.com)","350316","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/log-in-to-procore-web","11321","Thu, 27 Oct 2016 15:48:15 GMT",1323
"Create a Submittal","101795","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/create-a-submittal","817","Wed, 28 Jan 2015 20:12:46 GMT",2010
"Add Your Procore Certified Certificate to Your LinkedIn Profile","94234","https://support.procore.com/certification/tutorials/add-your-procore-certified-certificate-to-your-linkedin","3057","Wed, 03 Jun 2015 17:03:06 GMT",771
"Request Company and People Imports","89645","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/request-company-and-people-imports","29353","Tue, 13 Feb 2018 20:47:41 GMT",118
"Create a New Project","84637","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/create-a-new-project","1746","Tue, 03 Mar 2015 17:34:08 GMT",1734
"Add Phone Calls Entries (iOS)","83910","https://support.procore.com/procore-mobile-ios/user-guide/daily-log-ios/tutorials/add-phone-calls-entries-ios","10709","Thu, 08 Sep 2016 21:38:50 GMT",1274
"Grant Granular Permissions in a Project Permissions Template","82085","https://support.procore.com/products/online/user-guide/company-level/permissions/tutorials/grant-granular-permissions-in-a-project-permissions-template","67800","Sat, 18 Jan 2020 00:53:28 GMT",3171
"Configure a Project Template","77438","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/configure-a-project-template","19338","Wed, 07 Jun 2017 21:14:47 GMT",1351
"Create an RFI","76309","https://support.procore.com/products/online/user-guide/project-level/rfi/tutorials/create-an-rfi","853","Thu, 29 Jan 2015 19:52:43 GMT",1315
"Upload Drawings","74740","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/upload-drawings","989","Tue, 03 Feb 2015 01:29:22 GMT",1584
"Submit a New Invoice as an Invoice Contact","61474","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/submit-a-new-invoice-as-an-invoice-contact","11210","Wed, 19 Oct 2016 17:47:12 GMT",1484
"Add a Task","59444","https://support.procore.com/products/online/user-guide/project-level/tasks/tutorials/add-a-task","23886","Wed, 06 Sep 2017 18:29:23 GMT",392
"Import a Budget","55711","https://support.procore.com/products/online/user-guide/project-level/budget/tutorials/import-a-budget","1075","Thu, 05 Feb 2015 19:10:51 GMT",1145
"Compare Drawing Revisions","54948","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/compare-drawing-revisions","932","Mon, 02 Feb 2015 18:36:13 GMT",1260
"Grant Granular Permissions in a Permission Template","53328","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/grant-granular-permissions-in-a-permission-template","13790","Fri, 20 Jan 2017 21:40:23 GMT",33
"Create a Standard Project Folder Structure for the Documents Tool","53265","https://support.procore.com/products/online/user-guide/project-level/documents/tutorials/create-a-standard-project-folder-structure-for-the-documents-tool","4173","Tue, 15 Sep 2015 18:11:00 GMT",1023
"Install Procore Sync","52462","https://support.procore.com/products/procore-sync/tutorials/install-procore-sync","13130","Wed, 04 Jan 2017 21:22:17 GMT",103
"Review and Confirm Drawings","52419","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/review-and-confirm-drawings","19764","Fri, 09 Jun 2017 23:58:36 GMT",1239
"Install Procore Extracts","48871","https://support.procore.com/products/procore-extracts/user-guide/tutorials/install-procore-extracts","48750","Tue, 26 Mar 2019 21:36:49 GMT",1431
"Generate Submittals from Specifications (Submittal Builder)","46859","https://support.procore.com/products/online/user-guide/project-level/specifications/tutorials/generate-submittal-log","31161","Fri, 23 Mar 2018 16:29:30 GMT",960
"Bulk Add Users and Companies to a Project Directory","44236","https://support.procore.com/products/online/user-guide/project-level/directory/tutorials/bulk-add-users-and-companies-to-a-project-directory","1233","Fri, 13 Feb 2015 22:52:03 GMT",455
"Create a Custom Project Report","43568","https://support.procore.com/products/online/user-guide/project-level/reports/tutorials/create-a-custom-project-report","1577","Wed, 25 Feb 2015 00:36:37 GMT",701
"Create a Commitment Change Order","43050","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/create-a-commitment-change-order-cco","2256","Wed, 01 Apr 2015 17:13:21 GMT",991
"Add a User Account to the Project Directory","42880","https://support.procore.com/products/online/user-guide/project-level/directory/tutorials/add-user-account-to-project-directory","2797","Mon, 18 May 2015 20:47:46 GMT",935
"Create a Bid Package","42822","https://support.procore.com/products/online/user-guide/project-level/bidding/tutorials/create-a-bid-package","869","Fri, 30 Jan 2015 19:12:35 GMT",708
"Mark Up a Drawing","42115","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/mark-up-a-drawing","1069","Thu, 05 Feb 2015 16:43:30 GMT",725
"Delete Drawing Markups","41999","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/delete-drawing-markups","966","Tue, 03 Feb 2015 00:17:50 GMT",483
"Add a Distribution Group to the Company Directory","41145","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/add-a-distribution-group-to-the-company-directory","2837","Tue, 19 May 2015 18:49:45 GMT",277
"(Legacy) Create a Change Event","39632","https://support.procore.com/products/online/user-guide/project-level/change-events/tutorials/create-a-change-event","22906","Tue, 08 Aug 2017 16:18:09 GMT",349
"Add a User Account to the Company Directory","39084","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/add-a-user-account-to-the-company-directory","1676","Fri, 27 Feb 2015 18:04:41 GMT",1030
"Respond to a Submittal as an Approver","37542","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/respond-to-a-submittal-as-an-approver","2154","Wed, 18 Mar 2015 23:43:23 GMT",674
"Add Task Categories","36853","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/add-task-categories","32543","Mon, 16 Apr 2018 21:22:10 GMT",378
"(Legacy) Create a Purchase Order","36762","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/create-a-purchase-order","1309","Wed, 18 Feb 2015 00:40:46 GMT",493
